eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
14,31/01/2020,13,1,0,1b,0,0,0,0,0,0,0,0,39.3
58,31/01/2020,13,1,0,1b,0,0,0,0,0,0,0,0,39.1
64,31/01/2020,13,1,0,1b,0,1,0,0,0,0,1,1,40
808,31/01/2020,13,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,31/01/2020,13,3,1,3a,1,2,0,0,1,1,5,5,40.1
16,31/01/2020,13,3,1,3a,1,1,0,1,0,2,5,5,40
35,31/01/2020,13,3,1,3a,0,1,1,1,1,0,4,4,39.7
51,31/01/2020,13,3,1,3a,0,1,0,1,0,0,2,2,39.8
26,31/01/2020,13,5,1,5a,1,0,0,1,0,0,2,2,38.7
28,31/01/2020,13,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,31/01/2020,13,5,1,5a,1,0,0,1,0,2,4,4,39.5
827,31/01/2020,13,5,1,5a,0,0,0,0,0,0,0,0,39.4
11,1/2/2020,14,1,0,1b,0,0,0,0,0,0,0,0,38.5
13,1/2/2020,14,1,0,1b,0,0,0,0,0,0,0,0,39
14,1/2/2020,14,1,0,1b,0,1,0,0,0,0,1,1,39.7
58,1/2/2020,14,1,0,1b,0,0,0,0,0,0,0,0,39
64,1/2/2020,14,1,0,1b,0,0,0,0,0,0,0,0,39.4
808,1/2/2020,14,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,1/2/2020,14,3,1,3a,1,0,0,0,1,1,3,3,39.2
16,1/2/2020,14,3,1,3a,1,1,1,0,0,2,5,5,39.7
35,1/2/2020,14,3,1,3a,0,1,0,0,1,0,2,2,40
51,1/2/2020,14,3,1,3a,0,1,0,1,0,0,2,2,39.7
26,1/2/2020,14,5,1,5a,0,0,0,0,0,1,1,1,38.9
28,1/2/2020,14,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,1/2/2020,14,5,1,5a,1,0,1,1,0,1,4,4,39.2
827,1/2/2020,14,5,1,5a,0,0,0,0,0,0,0,0,38.7
11,2/2/2020,15,1,0,1b,0,0,0,0,0,0,0,0,38.6
13,2/2/2020,15,1,0,1b,0,0,0,0,0,0,0,0,39.4
14,2/2/2020,15,1,0,1b,0,0,0,0,0,0,0,0,38.9
58,2/2/2020,15,1,0,1b,0,0,0,0,0,0,0,0,39.4
64,2/2/2020,15,1,0,1b,0,1,0,0,0,0,1,1,39.7
808,2/2/2020,15,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,2/2/2020,15,3,1,3a,1,1,1,0,0,1,4,4,39.6
16,2/2/2020,15,3,1,3a,1,1,1,1,0,1,5,5,39.7
35,2/2/2020,15,3,1,3a,0,0,0,1,0,0,1,1,39.5
51,2/2/2020,15,3,1,3a,1,0,0,1,0,0,2,2,39.1
26,2/2/2020,15,5,1,5a,0,0,0,0,0,0,0,0,39
28,2/2/2020,15,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,2/2/2020,15,5,1,5a,1,0,0,1,0,0,2,2,39
827,2/2/2020,15,5,1,5a,0,0,0,1,0,0,1,1,38.8
11,3/2/2020,16,1,0,1b,0,0,0,0,0,0,0,0,38.8
13,3/2/2020,16,1,0,1b,0,0,0,0,0,0,0,0,39.1
