eartag,species,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,expt
275,Bovine,5/3/2021,6,1,1,1a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
239,Caprine,5/3/2021,6,1,0,1b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
241,Caprine,5/3/2021,6,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
246,Caprine,5/3/2021,6,1,0,1b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
255,Caprine,5/3/2021,6,1,0,1b,0,0,0,0,0,0,0,0,39,Experimental Barn
259,Bovine,5/3/2021,6,2,1,2a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
262,Bovine,5/3/2021,6,2,1,2a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
263,Bovine,5/3/2021,6,2,1,2a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
271,Bovine,5/3/2021,6,2,1,2a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
234,Caprine,5/3/2021,6,2,0,2b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
235,Caprine,5/3/2021,6,2,0,2b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
252,Caprine,5/3/2021,6,2,0,2b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
254,Caprine,5/3/2021,6,2,0,2b,0,0,0,0,0,0,0,0,38,Experimental Barn
233,Caprine,5/3/2021,6,3,1,3a,1,0,0,1,0,1,3,3,39.3,Postive Control
247,Caprine,5/3/2021,6,3,1,3a,1,1,0,0,1,2,5,5,40,Postive Control
236,Caprine,5/3/2021,6,4,0,4b,0,0,0,0,0,0,0,0,38.6,Negative Control
243,Caprine,5/3/2021,6,4,0,4b,0,0,0,0,0,0,0,0,38.9,Negative Control
258,Bovine,5/3/2021,6,5,1,5a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
265,Bovine,5/3/2021,6,5,1,5a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
269,Bovine,5/3/2021,6,5,1,5a,0,1,0,0,0,0,1,1,39.6,Experimental Barn
273,Bovine,5/3/2021,6,5,1,5a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
232,Caprine,5/3/2021,6,5,0,5b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
245,Caprine,5/3/2021,6,5,0,5b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
248,Caprine,5/3/2021,6,5,0,5b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
253,Caprine,5/3/2021,6,5,0,5b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
256,Bovine,5/3/2021,6,6,1,6a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
261,Bovine,5/3/2021,6,6,1,6a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
268,Bovine,5/3/2021,6,6,1,6a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
272,Bovine,5/3/2021,6,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
231,Caprine,5/3/2021,6,6,0,6b,0,0,0,0,0,0,0,0,38,Experimental Barn
240,Caprine,5/3/2021,6,6,0,6b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
244,Caprine,5/3/2021,6,6,0,6b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
250,Caprine,5/3/2021,6,6,0,6b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
260,Bovine,6/3/2021,7,1,1,1a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
266,Bovine,6/3/2021,7,1,1,1a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
274,Bovine,6/3/2021,7,1,1,1a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
275,Bovine,6/3/2021,7,1,1,1a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
239,Caprine,6/3/2021,7,1,0,1b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
241,Caprine,6/3/2021,7,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
246,Caprine,6/3/2021,7,1,0,1b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
255,Caprine,6/3/2021,7,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
259,Bovine,6/3/2021,7,2,1,2a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
262,Bovine,6/3/2021,7,2,1,2a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
263,Bovine,6/3/2021,7,2,1,2a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
271,Bovine,6/3/2021,7,2,1,2a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
234,Caprine,6/3/2021,7,2,0,2b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
