eartag,type,species,sex,dpi,barn,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r,isolation2_dmem,i2o,i2n,i2r
11,C,G,F,28,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
13,C,S,M,28,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
14,C,S,M,28,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
58,C,G,M,28,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
64,C,S,F,28,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
808,C,G,M,28,1,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
6,E,S,M,28,3,26.8357,26.8951,34.0753,33.8849,U,U,U,U,26.8654,33.9801,#DIV/0!,#DIV/0!,,0,0,0,,0,0,0,
16,E,S,M,28,3,37.6376,37.2472,37.0244,34.8123,U,U,U,U,37.4424,35.91835,#DIV/0!,#DIV/0!,,0,0,0,,,,,
35,E,S,F,28,3,28.688,28.5169,34.5634,33.2286,U,U,U,U,28.60245,33.896,#DIV/0!,#DIV/0!,,0,0,0,,,,,
51,E,S,F,28,3,31.6871,31.8018,U,U,U,U,U,U,31.74445,#DIV/0!,#DIV/0!,#DIV/0!,,0,0,,,0,0,,
26,E,G,F,28,5,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
28,E,G,M,28,5,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
57,E,G,M,28,5,U,U,U,36.3472,35.8142,35.5156,U,U,#DIV/0!,36.3472,35.6649,#DIV/0!,needed n,0,,0,0,0,,0,0
827,E,G,M,28,5,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
