eartag,type,species,sex,dpi,barn,innoc,barni,od,sp,status,note,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,notes,isolation1_dpbs,i1o,i1n,i1r
44,C,G,F,21,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,21,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
53,C,S,M,21,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,21,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,21,6,1,6a,0.056,0.45941807,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
12,E,S,M,21,6,0,6b,0.229,18.12149056,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
17,E,S,M,21,6,0,6b,1.153,112.4553344,Pos,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
32,E,S,M,21,6,0,6b,0.315,26.90148035,Pos,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
36,E,S,F,21,6,1,6a,0.079,2.807554875,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
37,E,S,M,21,6,0,6b,0.29,24.34915773,Pos,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
46,E,S,F,21,6,1,6a,0.076,2.501276161,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
47,E,S,M,21,6,1,6a,0.087,3.624298111,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
1,E,G,F,24,4,1,4a,0.05,0.454775139,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
8,E,G,F,24,4,1,4a,0.053,0.757958565,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
20,E,G,M,24,4,1,4a,0.144,9.954522486,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
21,E,G,M,24,4,1,4a,NA,NA,NA,died overnight into dpi 17,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,died overnight into dpi 17,,,,
23,E,G,M,24,4,0,4b,0.059,1.364325417,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
24,E,G,F,24,4,0,4b,0.172,12.78423446,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
25,E,G,F,24,4,0,4b,0.079,3.385548257,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
39,E,G,M,24,4,0,4b,0.158,11.36937847,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
9,C,G,F,24,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,24,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
44,C,G,F,24,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,24,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
