eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
259,Bovine,9/3/2021,10,2,1,2a,0.078,0.39,Neg,0.079,0.5,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,9/3/2021,10,2,1,2a,0.098,2.59,Neg,0.07,-0.5,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,9/3/2021,10,2,1,2a,0.128,5.89,Neg,0.215,15.47,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,9/3/2021,10,2,1,2a,0.101,2.92,Neg,0.076,0.17,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,9/3/2021,10,2,0,2b,0.079,0.5,Neg,0.069,-0.61,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,9/3/2021,10,2,0,2b,0.091,1.82,Neg,0.088,1.49,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,9/3/2021,10,2,0,2b,0.103,3.14,Neg,0.076,0.17,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,9/3/2021,10,2,0,2b,0.093,2.04,Neg,0.074,-0.06,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,9/3/2021,10,3,1,3a,NA,NA,NA,NA,NA,NA,had died,,,,,,,,,,,,,,,,,,,
247,Caprine,9/3/2021,10,3,1,3a,3.531,380.67,Pos,3.697,398.95,Pos,,,,21.6429,21.6805,NA,NA,19.9213,20.0179,,,21.6617,,19.9696,,,0,0,,0
236,Caprine,9/3/2021,10,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,9/3/2021,10,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,9/3/2021,10,5,1,5a,2.094,222.41,Pos,0.159,9.31,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,9/3/2021,10,5,1,5a,0.112,4.13,Neg,0.308,25.72,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,9/3/2021,10,5,1,5a,0.088,1.49,Neg,0.075,0.06,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,9/3/2021,10,5,1,5a,0.19,12.72,Neg,0.446,40.91,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,9/3/2021,10,5,0,5b,0.088,1.49,Neg,0.064,-1.16,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,9/3/2021,10,5,0,5b,0.11,3.91,Neg,0.224,16.46,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,9/3/2021,10,5,0,5b,0.099,2.7,Neg,0.174,10.96,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,9/3/2021,10,5,0,5b,0.111,4.02,Neg,0.121,5.12,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,9/3/2021,10,6,1,6a,0.122,5.23,Neg,0.438,40.03,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,9/3/2021,10,6,1,6a,0.087,1.38,Neg,0.081,0.72,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,9/3/2021,10,6,1,6a,0.098,2.59,Neg,0.089,1.6,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,9/3/2021,10,6,1,6a,0.111,4.02,Neg,0.382,33.87,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,9/3/2021,10,6,0,6b,0.079,0.5,Neg,0.071,-0.39,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,9/3/2021,10,6,0,6b,0.071,-0.39,Neg,0.102,3.03,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,9/3/2021,10,6,0,6b,0.082,0.83,Neg,0.105,3.36,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,9/3/2021,10,6,0,6b,0.098,2.59,Neg,0.184,12.06,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,13/3/2021,14,1,1,1a,0.122,4.56,Neg,0.382,31.54,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,13/3/2021,14,1,1,1a,0.095,1.76,Neg,0.397,33.09,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,13/3/2021,14,1,1,1a,0.094,1.66,Neg,0.261,18.98,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,13/3/2021,14,1,1,1a,0.15,7.47,Neg,0.083,0.52,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
